country_name;year;y_v2x_polyarchy;y_e_p_polity;y_BR_Democracy;WB_GDPgrowth;WB_GDPpc;WB_Inflation
Austria;2005;0.855;10;1;2.244065325;38403.13388;2.299138822
Austria;2006;0.863;10;1;3.454041836;40635.28182;1.441546962
Austria;2007;0.885;10;1;3.727415301;46855.77175;2.168555998
Austria;2008;0.884;10;1;1.460423676;51708.76575;3.21595023
Austria;2009;0.894;10;1;-3.764578178;47963.1794;0.50630835
Austria;2010;0.871;10;1;1.837093677;46858.04327;1.81353628
Austria;2011;0.89;10;1;2.922797284;51374.95841;3.286581974
Austria;2012;0.872;10;1;0.680445577;48567.69529;2.485673529
Austria;2013;0.868;10;1;0.025504712;50716.70871;2.000158912
Austria;2014;0.874;10;1;0.661272849;51717.49594;1.605804145
Austria;2015;0.867;10;1;1.014501586;44178.04738;0.896565316
Austria;2016;0.852;10;1;2.082608428;45237.80509;0.891592367
Austria;2017;0.835;10;1;2.476443921;47431.63061;2.081268583
France;2005;0.868;9;1;1.66322;34760.18777;1.745869364
France;2006;0.891;9;1;2.449323601;36443.62344;1.675124496
France;2007;0.883;9;1;2.424736238;41508.43399;1.48799806
France;2008;0.899;9;1;0.254945946;45334.11444;2.812861949
France;2009;0.891;9;1;-2.873313852;41575.41875;0.087620478
France;2010;0.898;9;1;1.949437633;40638.334;1.531122704
France;2011;0.874;9;1;2.192700652;43790.73205;2.111597952
France;2012;0.886;9;1;0.313134742;40874.70351;1.954195316
France;2013;0.862;9;1;0.576326679;42592.93409;0.863715498
France;2014;0.874;9;1;0.956183048;43008.64738;0.507758823
France;2015;0.876;9;1;1.112912341;36613.37522;0.037514381
France;2016;0.87;9;1;1.095464395;36962.22229;0.183334861
France;2017;0.882;9;1;2.260202721;38679.12715;1.032282751
Germany;2005;0.91;10;1;0.721853765;34507.36881;1.546909652
Germany;2006;0.917;10;1;3.814587905;36323.44774;1.577428259
Germany;2007;0.917;10;1;2.984077273;41587.2129;2.298341797
Germany;2008;0.905;10;1;0.962266442;45427.15168;2.628381749
Germany;2009;0.904;10;1;-5.697151628;41485.90165;0.31273763
Germany;2010;0.882;10;1;4.178969038;41531.9342;1.103809161
Germany;2011;0.876;10;1;3.924133418;46644.77603;2.075174525
Germany;2012;0.873;10;1;0.41955108;43858.36306;2.008490922
Germany;2013;0.888;10;1;0.428243262;46285.76407;1.50472098
Germany;2014;0.898;10;1;2.225688749;47959.99327;0.906797949
Germany;2015;0.878;10;1;1.739749823;41139.54457;0.51442054
Germany;2016;0.878;10;1;2.229999967;42098.92045;0.491748625
Germany;2017;0.871;10;1;2.465030029;44240.04411;1.509496558
Poland;2005;0.877;10;1;3.493667637;8021.003655;2.183798724
Poland;2006;0.884;10;1;6.179641346;9038.730847;1.284693944
Poland;2007;0.887;10;1;7.034828301;11255.4367;2.458743124
Poland;2008;0.869;10;1;4.249608503;14001.44688;4.164971935
Poland;2009;0.878;10;1;2.820259759;11527.59323;3.795392425
Poland;2010;0.888;10;1;3.606928261;12599.53358;2.580693703
Poland;2011;0.892;10;1;5.0172352;13893.50926;4.239401496
Poland;2012;0.922;10;1;1.607906645;13145.53926;3.560371517
Poland;2013;0.872;10;1;1.391892321;13781.06261;0.991982606
Poland;2014;0.886;10;1;3.318447537;14347.91458;0.053821313
Poland;2015;0.866;10;1;3.839071339;12572.30788;-0.874125874
Poland;2016;0.837;10;1;3.063908116;12431.57542;-0.664767331
Poland;2017;0.699;10;1;4.937663245;13856.98239;2.075935537
United Kingdom;2005;0.865;10;1;3.179728924;42030.28661;2.08913649
United Kingdom;2006;0.867;10;1;2.788324559;44599.69757;2.455661664
United Kingdom;2007;0.867;10;1;2.430553212;50566.8266;2.386561508
United Kingdom;2008;0.867;10;1;-0.28115359;47286.99849;3.521408563
United Kingdom;2009;0.867;10;1;-4.247821747;38713.13743;1.961731736
United Kingdom;2010;0.869;10;1;1.949521482;39435.8399;2.492654725
United Kingdom;2011;0.874;10;1;1.540147368;42038.50048;3.856112447
United Kingdom;2012;0.887;10;1;1.478923947;42462.71491;2.573234797
United Kingdom;2013;0.879;10;1;2.139485701;43444.56484;2.291666667
United Kingdom;2014;0.883;10;1;2.607475906;47417.63505;1.451120163
United Kingdom;2015;0.863;10;1;2.355524306;44966.10193;0.368046842
United Kingdom;2016;0.865;8;1;1.918155106;41074.16728;1.008417368
United Kingdom;2017;0.873;8;1;1.892077038;40361.41738;2.557755776
