Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2004-12-31,1546.57,2436.34,1545.4,2431.38
2005-12-31,2431.2,3675.14,2399.25,3667.03
2006-12-31,3667.47,4474.8,3238.69,4463.47
2007-12-31,4463.29,5010.93,4088.79,4512.98
2008-12-31,4512.2,4549.23,1492.83,1750.83
2009-12-31,1752.54,2775.05,1379.86,2495.56
2010-12-31,2495.28,2951.7,2195.28,2916.8
2011-12-31,2920,3016.8,1637.89,1891.68
2012-12-31,1890.45,2437.09,1839.86,2401.21
2013-12-31,2402.22,2676.8,2170.86,2546.54
2014-12-31,2548.74,2730.45,1980.53,2160.08
2015-12-31,2159.42,2695.57,2083.22,2396.94
2016-12-31,2396.94,2659.26,1929.73,2618.43
2017-12-31,2617.72,3447.93,2608.64,3420.14
2018-12-31,3420.31,3700.37,2674.71,2745.78
2019-12-31,2746.17,3308.91,2721.51,3186.94
2020-12-31,3187.62,3239.1001,1622.94995,2200.77
