Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2004-12-31,4480,4830,4269.5,4797.5,20687969,461301
2005-12-31,4820,5648,4750,5616,21569345,423419
2006-12-31,5647,6297,5481,6213,23638704,494925
2007-12-31,6262,6798,5837,6455,31539410,409843
2008-12-31,6446,6543,3652,4385,42435189,654472
2009-12-31,4405,5410.3,3444,5361.8,34715095,631901
2010-12-31,5348.4,5981,4754.9,5905.8,32302175,652158
2011-12-31,5953,6086.5,4705.8,5535.3,34672779,594825
2012-12-31,5602.7,5964.8,5177.8,5847.3,28521514,611473
2013-12-31,5938.3,6859.8,5923.3,6698.3,29519812,562216
2014-12-31,6707.6,6905,6046.3,6522.3,29831350,566077
2015-12-31,6457.8,7084.5,5761.8,6201,29823697,525465
2016-12-31,6191.4,7093,5449.8,7046.8,35059421,767508
2017-12-31,7034,7650,7025.5,7638,31154468,632088
2018-12-31,7639.5,7885.5,6475,6659,36873631,658280
2019-12-31,6695,7666,6537,7499,33610717,715029
2020-12-31,7513,7629.5,4733,5883.5,14744799
